"","INVENTORY_ID","province","notebook","class","subclass","IFN3_ID","X","Y","Forest_type","Deadwood","species_1","species_2","species_3","N","N_dead","N_alive","N_sp_1","N_sp_2","N_sp_3","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","DBHm","Dg","Do","G","G_dead","G_alive","G_sp_1","G_sp_2","G_sp_3","Hm","Ho","Fcc","slenderness","dominant_slenderness","SDI","S","S_staggered"
"1","IFN3",34,10,"A",NA,"34_10_A_1",379000,4766000,"natural",0,71,278,42,1589.56883607159,NA,1589.56883607159,1511.75975278222,63.6619772367581,14.1471060526129,0,1050.42262440651,445.633840657307,31.8309886183791,28.2942121052258,14.1471060526129,14.1471060526129,0,5.09295817894065,12.673576005696,13.5971440385728,24.2624717832957,23.0815312777778,NA,23.0815312777778,21.0711639166667,1.22123125,0.789136111111111,10.8785599857601,14.2849887133183,"70",85.8365466926685,58.8768895473925,598.093636072378,17.5582176646755,32.6795253518386
"2","IFN3",34,100,"A",NA,"34_100_A_4",369000,4747000,"natural",0,71,NA,NA,832.698662256796,NA,832.698662256796,832.698662256796,NA,NA,0,127.323954473516,159.154943091895,286.478897565412,183.912378683968,42.4413181578388,28.2942121052258,5.09295817894065,0,19.6568127760788,20.6698067391886,30.9850543478261,27.9415555555556,NA,27.9415555555556,27.9415555555556,NA,NA,11.754417261298,15.9972826086957,"70",59.7981849611063,51.6290287217715,613.633556250674,21.6625635299513,40.3185737631613
"3","IFN3",34,1000,"N",NA,"34_1000_N_N",375000,4766000,"natural",0,71,NA,NA,386.923350538963,NA,386.923350538963,386.923350538963,NA,NA,0,0,127.323954473516,95.4929658551372,42.4413181578388,42.4413181578388,28.2942121052258,0,50.9295817894065,25.274168190128,28.8387976755467,43.2481578947368,25.2737171944444,NA,25.2737171944444,25.2737171944444,NA,NA,10.8356489945155,13.8789473684211,"80",42.8724257629492,32.0914185575291,486.625151522055,36.629500904906,68.1751830571805
"4","IFN3",34,1001,"N",NA,"34_1001_N_N",380000,4764000,"natural",0,42,71,NA,466.854499736226,NA,466.854499736226,452.707393683613,14.1471060526129,NA,0,0,190.985931710274,63.6619772367581,14.1471060526129,113.176848420903,56.5884242104517,28.2942121052258,0,23.3871212121212,25.0409316435263,35.74375,22.9917694444444,NA,22.9917694444444,21.6150583333333,1.37671111111111,NA,12.0568181818182,14.75,"70",51.5532376664183,41.265955586641,468.081912838835,31.3774181344355,58.399955563968
"5","IFN3",34,1002,"N",NA,"34_1002_N_N",346000,4747000,"natural",0,38,NA,NA,254.647908947033,NA,254.647908947033,254.647908947033,NA,NA,0,0,95.4929658551372,31.8309886183791,28.2942121052258,56.5884242104517,28.2942121052258,14.1471060526129,0,23.0569444444444,24.3948893213312,30.975,11.9022125,NA,11.9022125,11.9022125,NA,NA,6.8125,8.5625,"60",29.5464128666948,27.6432606941082,244.827984847881,73.1862269965255,136.214916924632
"7","IFN3",34,1004,"N",NA,"34_1004_N_N",364000,4758000,"natural",0,42,278,273,551.737136051904,NA,551.737136051904,268.795014999645,254.647908947033,28.2942121052258,0,254.647908947033,127.323954473516,127.323954473516,14.1471060526129,28.2942121052258,0,0,0,14.9192307692308,15.9943710050178,24.165,11.0855291666667,NA,11.0855291666667,7.20976527777778,2.03125,1.84451388888889,6.73717948717949,8.03333333333333,"35",45.1576866890092,33.2436719773778,269.405093983996,52.9953914035676,98.6355375003552
"9","IFN3",34,1006,"N",NA,"34_1006_N_N",365000,4757000,"natural",0,41,NA,NA,254.647908947033,NA,254.647908947033,254.647908947033,NA,NA,0,127.323954473516,127.323954473516,0,0,0,0,0,0,11.89375,12.3296517590725,15.0875,3.04040625,NA,3.04040625,3.04040625,NA,NA,3.125,3.75,"60",26.2743037309511,24.8550124275062,81.8884123663835,167.108551642067,311.024060311243
"13","IFN3",34,101,"A",NA,"34_101_A_1",371000,4747000,"natural",0,71,NA,NA,337.549950415344,NA,337.549950415344,337.549950415344,NA,NA,0,0,318.309886183791,0,0,14.1471060526129,0,0,5.09295817894065,14.6211441743504,15.7972398899031,17.6168927250308,6.61592169444444,NA,6.61592169444444,6.61592169444444,NA,NA,8.15528080469405,8.45684340320592,"",55.7773092683179,48.0041715369594,161.572402140072,64.3609857294043,119.789292112769
"16","IFN3",34,1012,"N",NA,"34_1012_N_N",375000,4755000,"natural",0,42,43,NA,314.207225428533,NA,314.207225428533,219.138672754974,95.0685526735588,NA,0,0,31.8309886183791,0,56.5884242104517,84.8826363156775,14.1471060526129,70.7355302630646,56.0225399683472,34.909837910851,39.2495003079776,49.5866834170854,38.0166910277778,NA,38.0166910277778,31.1140581388889,6.90263288888889,NA,13.3462404322377,16.7613065326633,"75",38.2305998278191,33.8020318715006,648.076443335963,33.6576699629116,62.6439824270805
"19","IFN3",34,1015,"N",NA,"34_1015_N_N",371000,4753000,"natural",0,43,NA,NA,288.035079231199,NA,288.035079231199,288.035079231199,NA,NA,0,127.323954473516,127.323954473516,0,28.2942121052258,0,0,0,5.09295817894065,14.4423870333988,16.6006717057037,19.39731064764,6.23428405555556,NA,6.23428405555556,6.23428405555556,NA,NA,5.65127701375246,6.57903402854007,"50",39.1297989777145,33.9172483652548,149.297781706385,89.560224980026,166.690361097379
